id,name,partOf,locationType
WOWijdbRpaz,Salima Community Health Post,Location/MWD12,HEALTH_FACILITY
ARPfdeCauYK,Lilongwe District Hospital,Location/MWD13,HEALTH_FACILITY
fBEgbPJM3XF,Lilongwe Health Centre,Location/MWD13,HEALTH_FACILITY
hejxcSVcLr7,Lilongwe Community Health Post,Location/MWD13,HEALTH_FACILITY
RPlgo2zgVbd,Mchinji District Hospital,Location/MWD14,HEALTH_FACILITY
tkSQ8ZaqtLX,Mchinji Health Centre,Location/MWD14,HEALTH_FACILITY
CjxnfSUMU92,Mchinji Community Health Post,Location/MWD14,HEALTH_FACILITY
pjdusyskDtk,Dedza District Hospital,Location/MWD15,HEALTH_FACILITY
LwDQ3t5UVoT,Dedza Health Centre,Location/MWD15,HEALTH_FACILITY
ZnBUXLcnjin,Dedza Community Health Post,Location/MWD15,HEALTH_FACILITY
R2YcP06C9hi,Ntcheu District Hospital,Location/MWD16,HEALTH_FACILITY
DLEw1iZcYVV,Ntcheu Health Centre,Location/MWD16,HEALTH_FACILITY
fqqylHjhh3Q,Ntcheu Community Health Post,Location/MWD16,HEALTH_FACILITY
rrndem3Cnzz,Lilongwe City District Hospital,Location/MWD17,HEALTH_FACILITY
RP4XdD3qlah,Lilongwe City Health Centre,Location/MWD17,HEALTH_FACILITY
u3z48fdzbAH,Lilongwe City Community Health Post,Location/MWD17,HEALTH_FACILITY
dQqUh1a7QZn,Mangochi District Hospital,Location/MWD18,HEALTH_FACILITY
jNhhCqEDM2s,Mangochi Health Centre,Location/MWD18,HEALTH_FACILITY
Wv7QOo1KXF0,Mangochi Community Health Post,Location/MWD18,HEALTH_FACILITY
hG2WIptBVR5,Machinga District Hospital,Location/MWD19,HEALTH_FACILITY
ff6NBTUAPgr,Machinga Health Centre,Location/MWD19,HEALTH_FACILITY
hk0wmEMnVTx,Machinga Community Health Post,Location/MWD19,HEALTH_FACILITY
JIzXoAaD49C,Zomba District Hospital,Location/MWD20,HEALTH_FACILITY
tJmgSjch2De,Zomba Health Centre,Location/MWD20,HEALTH_FACILITY
cgfJaQOXpUO,Zomba Community Health Post,Location/MWD20,HEALTH_FACILITY
pmb1ifLU9w6,Chiradzulu District Hospital,Location/MWD21,HEALTH_FACILITY
IvhxIa42vzt,Chiradzulu Health Centre,Location/MWD21,HEALTH_FACILITY
hnFeNIYdFWy,Chiradzulu Community Health Post,Location/MWD21,HEALTH_FACILITY
mjT4yHLSTLy,Blantyre District Hospital,Location/MWD22,HEALTH_FACILITY
pMwnfiQrxt3,Blantyre Health Centre,Location/MWD22,HEALTH_FACILITY
ShZwmd6KYDl,Blantyre Community Health Post,Location/MWD22,HEALTH_FACILITY
CGCyFH6I4jz,Mwanza District Hospital,Location/MWD23,HEALTH_FACILITY
arysIEF0m4B,Mwanza Health Centre,Location/MWD23,HEALTH_FACILITY
AEAODIdqM8V,Mwanza Community Health Post,Location/MWD23,HEALTH_FACILITY
wS2KEdF7EAH,Thyolo District Hospital,Location/MWD24,HEALTH_FACILITY
wSDS6jAnzJi,Thyolo Health Centre,Location/MWD24,HEALTH_FACILITY
hEBGLXBo0PV,Thyolo Community Health Post,Location/MWD24,HEALTH_FACILITY
F9bNqUB51QT,Mulanje District Hospital,Location/MWD25,HEALTH_FACILITY
uRwKeJ08ZbA,Mulanje Health Centre,Location/MWD25,HEALTH_FACILITY
ZNt71SeNLDW,Mulanje Community Health Post,Location/MWD25,HEALTH_FACILITY
BcnVsHkt8gE,Phalombe District Hospital,Location/MWD26,HEALTH_FACILITY
wjE8McCHUiL,Phalombe Health Centre,Location/MWD26,HEALTH_FACILITY
Rdv3BwKmDZP,Phalombe Community Health Post,Location/MWD26,HEALTH_FACILITY
gixrpPz3Rsm,Chikwawa District Hospital,Location/MWD27,HEALTH_FACILITY
ITdQ41MYKvY,Chikwawa Health Centre,Location/MWD27,HEALTH_FACILITY
YEI7exy4ti7,Chikwawa Community Health Post,Location/MWD27,HEALTH_FACILITY
EX6LJESvov4,Nsanje District Hospital,Location/MWD28,HEALTH_FACILITY
m1HcCTce823,Nsanje Health Centre,Location/MWD28,HEALTH_FACILITY
nsvtkQP8sM7,Nsanje Community Health Post,Location/MWD28,HEALTH_FACILITY
Pc5ADoQhWHU,Balaka District Hospital,Location/MWD29,HEALTH_FACILITY
PP2YLHshued,Balaka Health Centre,Location/MWD29,HEALTH_FACILITY
LPuS64J33sI,Balaka Community Health Post,Location/MWD29,HEALTH_FACILITY
mW4bXWZubLn,Neno District Hospital,Location/MWD30,HEALTH_FACILITY
IOEzYtPvH5w,Neno Health Centre,Location/MWD30,HEALTH_FACILITY
u8GyBiXeece,Neno Community Health Post,Location/MWD30,HEALTH_FACILITY
CjwneLELt6R,Zomba City District Hospital,Location/MWD31,HEALTH_FACILITY
xW0Q78cOJ9S,Zomba City Health Centre,Location/MWD31,HEALTH_FACILITY
M7DnqJtJe20,Zomba City Community Health Post,Location/MWD31,HEALTH_FACILITY
vOy38CaZI0L,Blantyre City District Hospital,Location/MWD32,HEALTH_FACILITY
I1HPdEFb8vQ,Blantyre City Health Centre,Location/MWD32,HEALTH_FACILITY
n71pzkTM3Xp,Blantyre City Community Health Post,Location/MWD32,HEALTH_FACILITY
